English_Word,Examples
not lose sleep over sth,"- I know you're worried about the test, but don't lose sleep over it.
- - He didn't get the promotion, but he's not going to lose sleep over it.
- - It's just a game; don't lose sleep over who wins or loses.
- - She made a small mistake, but it's not something to lose sleep over."
not take no for an answer,"- She wouldn't take no for an answer and kept asking until I agreed.
- - He's the kind of person who doesn't take no for an answer; he always finds a way.
- - The salesperson wouldn't take no for an answer and eventually convinced me to buy the product.
- - The journalist wouldn't take no for an answer and continued to investigate the story until she uncovered the truth."
nothing succeeds like success,"- After winning the first competition, she felt like nothing succeeds like success.
- - His business is booming; it seems nothing succeeds like success.
- - Once he got the promotion, he realized nothing succeeds like success, and more opportunities came his way.
- - She aced her first exam, proving that nothing succeeds like success.
- - They invested in the stock after seeing its initial gains, believing nothing succeeds like success.
- - The team's winning streak shows that nothing succeeds like success; confidence builds upon victory."
nuclear physics,"- Nuclear physics is a branch of physics that studies the constituents and interactions of atomic nuclei.
- - The research in nuclear physics has led to many technological advancements."
nursery,"- She takes her baby to the nursery every morning.
- - The nursery provides excellent care for young children.
- - We bought some apple trees from the local nursery.
- - The nursery specializes in growing rare plants."
nutrition,"- Good nutrition is essential for a healthy life.
- - The nutrition information is listed on the food label.
- - Proper nutrition helps children grow and develop.
- - Malnutrition is a serious problem in many developing countries, due to lack of adequate nutrition."
obe,"- He was awarded the OBE for his services to the community.
- - She received an OBE from the Queen."
obligation,"- He has a strong obligation to his family.
- - The company has a legal obligation to pay taxes.
- - It is my obligation to report any suspicious activity.
- - She feels a moral obligation to help the poor.
- - The company has an obligation to pay its debts.
- - He has an obligation to repay the loan."
oboe,"- She plays the oboe in the orchestra.
- - The oboe's sound is very distinctive."
obscure,"- The speaker had an obscure accent.
- - His origins remain obscure.
- - Clouds obscure the sun.
- - The details of the agreement were obscured by legal jargon.
- - He was an obscure artist before his work became famous.
- - The village is obscure and difficult to reach."
on the wall,"- The picture is on the wall.
- - There's a clock on the wall.
- - He felt like he was on the wall when his boss asked him about the missing reports.
- - The company is on the wall due to the financial crisis."
one,"- I have one brother.
- - She ate one apple.
- - One of us must go.
- - This is the one I want.
- - One plus one is two.
- - He scored one goal."
one hundred per cent,"- I am one hundred per cent sure that I locked the door.
- - The project was one hundred per cent successful.
- - He is one hundred per cent committed to the team.
- - I agree with you one hundred per cent.
- - One hundred per cent, this is the right decision.
- - We will support you one hundred per cent."
one-dayer,"- We went on a one-dayer to the coast.
- - The company organized a one-dayer for team building.
- - He is famous for his performance in one-dayers.
- - The one-dayer was full of excitement."
operations room,"- The general monitored the battle from the operations room.
- - All the important decisions were made in the operations room.
- - The doctor prepared for surgery in the operations room.
- - The operations room was sterile and well-equipped."
oral,"- The students had an oral exam.
- - Oral tradition is important in many cultures.
- - The doctor prescribed an oral medication.
- - Oral hygiene is important for healthy teeth.
- - He has an oral fixation.
- - The baby has strong oral reflexes."
order number,"- What is your order number?
- - Please provide your order number for tracking."
original,"- This is an original painting by Van Gogh.
- - She had an original idea for the project.
- - The museum has the original manuscript.
- - We need to see the original document.
- - He's a bit of an original, I'll give him that.
- - She's a real original; you never know what she'll do next."
out of the ordinary,"- The restaurant was nothing out of the ordinary.
- - For him to behave like that is quite out of the ordinary.
- - We try to make the lessons anything but out of the ordinary.
- - Her beauty was out of the ordinary."
outrageous,"- The referee made an outrageous decision.
- - It is outrageous that these workers are being underpaid.
- - His behavior at the party was outrageous.
- - The newspaper published an outrageous story about her.
- - They charged an outrageous price for the tickets.
- - She wears outrageous clothes."
overdog,"- The team was considered the overdog but lost the game.
- - Despite the hype, he performed like an overdog in the competition."
overeat,"- I tend to overeat when I'm stressed.
- - Don't overeat, you'll feel uncomfortable.
- - He tends to overeat at buffets.
- - She overate and now has a stomach ache."
overly,"- He was overly concerned about the details.
- - The soup was overly salty.
- - She's overly sensitive to criticism.
- - The report was overly long and complicated."
overrate,"- Critics overrated the movie.
- - The company's stock price is currently overrated.
- - Don't overrate your abilities.
- - He tends to overrate his own importance."
overshadow,"- The new skyscraper will overshadow all the other buildings in the city.
- - His achievements were overshadowed by his later scandals.
- - Concerns about the economy often overshadow other important issues.
- - Her personal life began to overshadow her career.
- - A cloud passed in front of the sun and overshadowed the beach.
- - The bad news overshadowed our happiness."
overwhelming,"- The evidence against him was overwhelming.
- - The support from the community was overwhelming.
- - The task seemed overwhelming at first.
- - The pressure to succeed was overwhelming.
- - His desire to win was overwhelming.
- - The smell of the flowers was overwhelming."
owing to,"- The game was canceled owing to the rain.
- - Owing to the heavy traffic, we were late.
- - Owing to your help, we finished the project on time.
- - He succeeded owing to his hard work."
parasite,"- The parasite attached itself to the host's skin.
- - Some intestinal worms are parasites.
- - He is a parasite, living off his parents' wealth.
- - The plant is a parasite on the tree.
- - The company was accused of being a parasite on the local economy.
- - He saw himself as a parasite, draining the life out of her."
pasta,"- I would like a slice of cake, please.
- - She baked a delicious chocolate cake for his birthday.
- - They decided to cake the entire building in balloons for the celebration.
- - The mud caked his boots after the hike."
pay back,"- I will pay you back next week.
- - I need to pay back the money I borrowed.
- - He vowed to pay them back for their insults.
- - She plans to pay him back for what he did.
- - I'll pay you back with a favor.
- - He paid her back for her kindness by helping her move."
peroxide,"- Hydrogen peroxide is a mild antiseptic used on the skin to prevent infection of minor cuts, scrapes, and burns.
- - She used peroxide to bleach her hair blonde.
- - Peroxide is used in many household cleaning products as a bleaching agent.
- - The dentist used a peroxide solution to whiten my teeth."
pharmaceutical,"- The pharmaceutical industry is highly regulated.
- - They work in pharmaceutical research.
- - The new pharmaceutical is very effective.
- - This pharmaceutical requires a prescription."
phrase,"- The phrase 'out of the blue' means unexpectedly.
- - He used a common phrase in his speech.
- - She phrased her question carefully.
- - It's difficult to phrase exactly what I mean."
physicist,"- Albert Einstein was a famous physicist.
- - She is a theoretical physicist specializing in quantum mechanics."
pidgin,"- Pidgin is often used in trade between people who speak different languages.
- - The pidgin language evolved over many years.
- - He spoke in pidgin English, making it difficult to understand him.
- - The tourists tried to communicate using a pidgin form of the local language."
pigs in blankets,"- We had pigs in blankets with our Christmas dinner.
- - Pigs in blankets are a popular appetizer at parties."
pith helmet,"- The explorer wore a pith helmet to protect himself from the sun.
- - Pith helmets were commonly used in tropical climates."
plasma screen,"- I bought a new plasma screen TV.
- - The sports bar had a huge plasma screen for watching the game."
plateau,"- The expedition reached a high plateau after several days of climbing.
- - The village is located on a plateau overlooking the valley.
- - Sales have reached a plateau and are not expected to rise further.
- - His career has hit a plateau; he needs to find new challenges.
- - The stock price plateaued after a period of rapid growth.
- - Her performance plateaued, she needed to push herself harder."
platonic,"- They have a platonic relationship.
- - Their love was purely platonic.
- - The two maintained a platonic friendship, despite their initial attraction.
- - Their interactions were always platonic and respectful."
play up,"- The media played up the dangers of the disease.
- - He played up his achievements to impress her.
- - The children were playing up because they were bored.
- - He started playing up in class, disrupting the lesson.
- - My back is playing up again.
- - Her old knee injury started playing up during the marathon."
pleonasm,"- Saying 'burning fire' is a pleonasm.
- - The phrase 'a new innovation' is an example of pleonasm.
- - Pleonasm should be avoided in formal writing to maintain clarity.
- - Using 'added bonus' is a pleonasm because a bonus is always added.
- - The editor removed the pleonasm to make the sentence more concise.
- - Too much pleonasm can make your writing sound redundant and repetitive."
plummet,"- The stock market plummeted after the news.
- - Her confidence plummeted when she forgot her lines.
- - The skydiver plummeted towards the earth.
- - The plane plummeted from the sky.
- - Temperatures plummeted overnight.
- - His popularity plummeted after the scandal."
podium,"- The speaker stood on the podium to address the audience.
- - The principal used the podium during the assembly.
- - She stood on the podium to receive her gold medal.
- - The top three athletes stood on the podium after the race."
polygon,"- A polygon is a closed figure with straight sides.
- - The stop sign is a polygon with eight sides."
ponderous,"- The ponderous elephant moved slowly through the jungle.
- - The machine was ponderous and difficult to operate.
- - The book was a ponderous read, filled with long, dull passages.
- - The lecture was so ponderous that many students fell asleep.
- - He spoke in a ponderous tone about the importance of education.
- - She gave a ponderous response after considering the question carefully."
porous,"- The sponge is a porous material.
- - Porous rocks allow water to seep through.
- - The border is porous and easily crossed.
- - The security system has a porous design.
- - The government's policies were porous to corruption.
- - The team's defense was porous, allowing many goals."
port wine stain,"- She had a port wine stain on her cheek.
- - Laser treatment can often reduce the appearance of a port wine stain."
postman’s knock,"- The economic crisis was the postman's knock for many entrepreneurs to start new businesses.
- - For the band, winning the competition was the postman's knock they needed to get noticed.
- - Getting that job offer was a real postman's knock after months of searching.
- - Finding the lost keys felt like a postman's knock; I was so relieved.
- - This investment could be the postman's knock that transforms our company.
- - The scholarship was the postman's knock I needed to pursue my dreams."
predestine,"- Do you believe our lives are predestined?
- - Some believe that every event is predestined by God.
- - She felt predestined to become a doctor.
- - He believed he was predestined for greatness."
prevail on to do,"- I prevailed on him to sing.
- - She prevailed on her father to buy her a new bicycle.
- - He prevailed on me to join the team.
- - We finally prevailed on them to stay for dinner."
proffer,"- They proffered assistance to the flood victims.
- - He proffered an apology for his behavior.
- - The lawyer proffered new evidence in the case.
- - She proffered an explanation that seemed unlikely.
- - His proffer of help was greatly appreciated.
- - The company rejected their proffer."
prompt,"- The coach's speech was a prompt for the team to play harder.
- - The website provides prompts to help users complete the form.
- - His quick thinking prompted him to call the ambulance.
- - The news report prompted widespread outrage.
- - Prompt payment is appreciated.
- - Please be prompt for the meeting."
proof,"- Do you have any proof of purchase?
- - The police need proof before they can arrest him.
- - Can you prove your theory?
- - The experiment proved his hypothesis.
- - This is the proof of the cake that I baked.
- - He works in a proof of concept environment."
prosecution,"- The prosecution presented a strong case against the defendant.
- - The defense argued that the prosecution's evidence was circumstantial.
- - He is facing prosecution for fraud.
- - The prosecution of war criminals is an important international issue.
- - The company faces prosecution under consumer protection laws.
- - The prosecution is seeking a life sentence for the murderer."
quarterback,"- The quarterback threw a perfect spiral to the receiver.
- - Our team's success depends on the quarterback's performance."
quotation,"- The quotation is from Shakespeare.
- - He used a quotation from the Bible in his speech.
- - We received a quotation for the repair work.
- - Get a quotation before you agree to the work.
- - Stock quotations are updated every minute.
- - The quotation for gold is rising."
quotes,"- The book begins with a quote from Shakespeare.
- - He uses quotes to support his argument.
- - Get quotes from several contractors before making a decision.
- - The company provides free quotes for their services.
- - He quoted a passage from the Bible.
- - The journalist quoted the politician in her article."
rage,"- He was filled with rage after losing the game.
- - Her face was contorted with rage.
- - He raged at the unfair decision.
- - The storm raged all night."
raider,"- The raiders plundered the village.
- - The Vikings were known as fierce raiders.
- - He is a corporate raider known for hostile takeovers.
- - The raider made a bid for the company.
- - The raider attacked the wagons.
- - The Apache were skilled raiders."
raise money,"- We are trying to raise money for the new hospital.
- - The school is raising money to buy new computers.
- - The charity aims to raise money through donations.
- - The campaign is raising money to support cancer research.
- - The company raised money by selling bonds.
- - They raised money for the project by attracting investors."
rangy,"- He was a rangy youth, tall and lanky.
- - The rangy dog stretched lazily in the sun.
- - They explored the rangy plains.
- - The cattle roamed across the rangy ranch."
reconstruction,"- The reconstruction of the city began after the war.
- - The reconstruction project is expected to take several years.
- - The reconstruction of the old car took months.
- - The reconstruction of history relies on interpreting sources.
- - The reconstruction of the events helped the police solve the crime.
- - The scientist worked on the reconstruction of the fragmented DNA."
red-top,"- I saw a bird with a red-top on the feeder.
- - The hill is known for its red-top grass.
- - She always buys the milk with the red-top.
- - Make sure you get the red-top one, not the blue."
rehab,"- He went to rehab for his alcohol addiction.
- - The rehab program helped him get his life back on track.
- - She works at a rehab for drug addicts.
- - The rehab has a high success rate.
- - They are trying to rehab the injured bird.
- - He needs to rehab his image after the scandal."
relieved,"- I felt relieved when I heard you were safe.
- - She was relieved to hear the surgery was successful.
- - He was relieved of his duties.
- - The organization was relieved of its financial burden."
reputedly,"- He is reputedly a millionaire.
- - She is reputedly very wealthy.
- - The house is reputedly haunted.
- - The artifact is reputedly of great historical value.
- - The painting is reputedly a forgery.
- - The company is reputedly planning layoffs."
request,"- He made a request for information.
- - The manager approved her request for a vacation.
- - They requested more time to complete the project.
- - She requested a refund for the damaged product.
- - At your request, I have sent the documents.
- - The song was played by request."
reset,"- Please reset the computer.
- - You can reset the device by pressing this button.
- - I had to reset my phone because it froze.
- - The game resets after each round.
- - There was a reset of the system after the power outage.
- - The reset button is located at the back."
restructure,"- The company decided to restructure its departments.
- - We need to restructure the way we work.
- - The government is planning to restructure the healthcare system.
- - The manager restructured the project timeline.
- - They want to restructure the organization from the ground up.
- - The software code was restructured for better performance."
result in,"- His actions will result in serious consequences.
- - The heavy rain resulted in flooding.
- - Stress can result in health problems.
- - Their efforts resulted in success.
- - The investigation resulted in new evidence.
- - The experiment resulted in a surprising discovery."
resume,"- I sent my resume to the company.
- - The hiring manager reviewed her resume.
- - The project will resume next week.
- - The meeting will resume after a short break."
roadworks,"- Roadworks are causing traffic delays on the highway.
- - The roadworks will continue for the next two weeks."
rock ’n’ roll,"- Rock ’n’ roll music became popular in the 1950s.
- - Elvis Presley is considered a king of rock ’n’ roll.
- - The party had a great rock ’n’ roll vibe.
- - We danced to some classic rock ’n’ roll all night."
roller,"- She plays a key role in the project.
- - What is your role in this company?
- - The movie features many famous rollers.
- - He is a rollers in the play.
- - Use a paint rollers for even application.
- - The machine uses a series of rollers to flatten the dough."
rowback,"- The company faced rowback after announcing the new policy.
- - There was significant rowback from the community regarding the proposed development.
- - He experienced rowback after making that hasty decision.
- - She felt a rowback about not attending her friend's wedding."
sadistic,"- The sadistic criminal enjoyed torturing his victims.
- - His sadistic comments were designed to cause maximum pain.
- - A sadistic person finds pleasure in others' suffering.
- - The game was sadistic, pushing players to their breaking points."
salmonberry,"- We picked salmonberries along the trail.
- - Salmonberry jam is a local delicacy."
scarcity,"- There is a scarcity of food in the drought-stricken region.
- - The scarcity of skilled workers is a major concern for the industry.
- - Due to scarcity, prices have increased dramatically.
- - The scarcity of water is a growing problem.
- - The value of the antique is increased by its scarcity.
- - The scarcity of this edition makes it highly collectible."
sceptical,"- I am sceptical about his claims.
- - She gave me a sceptical look.
- - He is sceptical of any new technology.
- - The public remains sceptical about the government's plans.
- - They were sceptical that we could finish on time.
- - Many experts remain sceptical about the possibility of a quick solution."
scorpion,"- Scorpions are arachnids with a venomous sting.
- - I saw a scorpion in the desert.
- - She is a Scorpio, born in November.
- - As a Scorpio, he is known for his intensity."
sea dog,"- He's an old sea dog who's sailed around the world many times.
- - The captain was a grizzled old sea dog.
- - Long John Silver was a notorious sea dog.
- - The sea dogs terrorized the coastal towns."
seasonal,"- Seasonal fruits are usually cheaper and tastier.
- - The restaurant offers a seasonal menu.
- - Seasonal allergies can be quite bothersome.
- - There is a seasonal demand for holiday decorations.
- - The resort offers seasonal activities like skiing in the winter.
- - Many stores hire extra staff for seasonal work."
second-guess,"- I started to second-guess my decision to quit my job.
- - Don't second-guess yourself; you made the right choice.
- - The coach began to second-guess his strategy after the team's poor performance.
- - She's always second-guessing her own abilities.
- - After the project failed, they began to second-guess the initial plan.
- - I am starting to second-guess whether I should have invested in that company."
sediment,"- The river carries sediment downstream.
- - The analysis of sediment layers can reveal information about past environments.
- - The sediment settled at the bottom of the glass.
- - These sediments are rich in minerals."
see also,"- For more information, see also the company's website.
- - See also: related articles on the topic.
- - Under 'References', see also 'Further Reading'.
- - For alternative approaches, see also the work of Smith et al."
see through,"- I can see through your lies.
- - She tried to deceive me, but I could see through her.
- - The sun was so bright you could see through your eyelids.
- - The material is so thin you can see through it.
- - He thought he could fool us, but we saw right through him.
- - I saw through his plan from the beginning."
seem,"- She seems happy.
- - It seems like it's going to rain.
- - It seems a long time since I saw you.
- - Things aren't always what they seem.
- - It would seem that they have left.
- - He seems to know what he is doing."
self-checkout,"- The self-checkout line was much faster than the regular checkout.
- - I prefer using the self-checkout to avoid talking to the cashier."
self-esteem,"- She suffers from low self-esteem.
- - Taking pride in your work boosts your self-esteem.
- - He has a lot of self-esteem and isn't afraid to speak his mind.
- - Success in her career significantly improved her self-esteem."
sen,"- I like you.
- - Are you coming to the party?
- - You all need to listen carefully.
- - Did you enjoy the show?"
senior high school,"- She is a student at senior high school.
- - He graduated from senior high school last year."
senseless,"- The movie was completely senseless.
- - It's senseless to argue about it.
- - His actions seemed senseless at the time.
- - A senseless act of violence.
- - That's a senseless question.
- - The rules seem senseless to me."
set the wheels in motion,"- We need to set the wheels in motion to get this project off the ground.
- - The committee has set the wheels in motion for the new policy."
settle down,"- After years of traveling, they decided to settle down and start a family.
- - The children need to settle down before bedtime.
- - We need to settle down the details of the contract before signing.
- - Let's settle down this argument once and for all.
- - Settle down and listen to the instructions.
- - It's time to settle down and study for the exam."
several,"- Several people complained about the noise.
- - I've seen him several times this week.
- - We visited several countries in Europe.
- - Several options are available to you."
shading,"- The artist used shading to create depth in the drawing.
- - Proper shading can make a room feel cooler.
- - The shading of the trees provided a cool escape from the sun.
- - The shading on her face made it difficult to see her expression clearly.
- - The curtains shade the room from the harsh sunlight.
- - He used a hat to shade his eyes from the sun."
shake-out,"- The investigation shook out some surprising facts.
- - Let's shake out all the details before making a decision.
- - She shook out the crumbs from the tablecloth.
- - He shook out his shoes to get rid of the sand.
- - I need to shake out my legs after that long run.
- - The team needed to shake out the tension before the big game."
shaped,"- The vase was shaped like a heart.
- - The sculptor shaped the clay into a beautiful statue.
- - The metal was shaped using high pressure.
- - The dough is shaped into loaves before baking.
- - Her experiences have shaped her into a strong leader.
- - His early childhood shaped his personality."
shawl,"- She wore a shawl over her shoulders.
- - The shawl kept her warm in the cool evening breeze."
shoreline,"- We walked along the shoreline at sunset.
- - The hurricane caused significant erosion of the shoreline.
- - Many birds nest along the shoreline.
- - The city is located on the shoreline."
shortcut,"- We took a shortcut through the woods.
- - Is there a shortcut to the train station?
- - Create a desktop shortcut for the application.
- - Double-click the shortcut to open the file.
- - They decided to shortcut the process to save time.
- - Let's shortcut the meeting and get straight to the point."
show sb around,"- Let me show you around the office.
- - I'll show you around the town if you like.
- - She showed me around her new house.
- - He showed us around the factory."
silence,"- The silence in the room was deafening.
- - She asked for silence so she could concentrate.
- - His silence implied agreement.
- - Silence is often the best response.
- - The host asked the audience to silence their phones.
- - The government tried to silence the protestors."
single-parent family,"- She grew up in a single-parent family.
- - Single-parent families often face financial challenges.
- - The government provides support for single-parent households.
- - A single-parent home can be just as nurturing as a two-parent home."
skunk,"- A skunk sprayed the dog in the backyard.
- - The smell of skunk is very strong.
- - He's a real skunk for cheating on the exam.
- - Don't be such a skunk; share the candy."
smirk,"- He smirked when he heard the news.
- - She smirked at his clumsy attempt to impress her.
- - A smirk played on his lips.
- - The smirk on her face suggested she knew something I didn't."
smock,"- She wore a smock to protect her clothes while painting.
- - The artist's smock was covered in paint splatters.
- - The children were smocked before they started the art project.
- - She smocked her daughter before letting her help in the kitchen."
socialist realism,"- Socialist realism was the dominant art form in the Soviet Union.
- - The paintings were created in the style of socialist realism.
- - Socialist realism aimed to depict the lives of ordinary workers.
- - Many artists were forced to adhere to the principles of socialist realism."
solo,"- She enjoys solo travel.
- - He made a solo attempt to climb the mountain.
- - She performed solo.
- - He flew solo across the Atlantic.
- - She played a guitar solo.
- - The singer had a solo in the concert."
sous-chef,"- The sous-chef is responsible for overseeing the kitchen staff.
- - He was promoted from line cook to sous-chef."
south-east,"- Miami is in the southeast of Florida.
- - We flew in a southeasterly direction.
- - The southeast region is known for its warm climate.
- - A southeast wind was blowing."
speed dating,"- I went to a speed dating event last night.
- - Speed dating is a fun way to meet new people.
- - She found her boyfriend through speed dating.
- - The concept of speed dating has become very popular."
spokeswoman,"- The spokeswoman announced the company's new policy.
- - She is the spokeswoman for the environmental group."
stagger,"- He staggered to his feet.
- - The boxer staggered under the force of the blow.
- - The sheer scale of the problem staggered me.
- - The news staggered her.
- - We are staggering the start times of the races.
- - The company is staggering work hours to reduce crowding."
stake-out,"- The police set up a stake-out across the street from the suspect's house.
- - The detectives conducted a stake-out for several days, hoping to catch the thief.
- - The FBI decided to stake out the bank after receiving a tip about a possible robbery.
- - They staked out the warehouse, waiting for the smugglers to arrive."
street smarts,"- He survived on the streets because of his street smarts.
- - You can have all the book smarts in the world, but without street smarts, you won't get far here.
- - She's a street smart kid who knows how to handle herself.
- - You need to be street smart to avoid scams in this city."
stroll,"- We strolled along the beach.
- - They strolled through the park.
- - He likes to stroll around the city in the evenings.
- - She strolled down the street, window shopping.
- - They went for a stroll in the garden.
- - After dinner, we took a stroll along the river."
such is life!,"- I lost all my money at the casino. Such is life!
- - The project failed despite our best efforts. Such is life.
- - We missed the train. Such is life, we'll have to wait for the next one.
- - I didn't get the job, but such is life. I'll keep applying.
- - He was injured in the accident, but such is life. We have to accept it.
- - Our team lost the game. Such is life, we'll try again next time."
sunbathe,"- I like to sunbathe on the beach.
- - She is sunbathing by the pool."
suspension,"- The student received a suspension from school for fighting.
- - The bridge is under suspension for repairs.
- - The car has a very smooth suspension.
- - He upgraded the suspension on his truck.
- - The paint contains a suspension of pigment particles.
- - Shake the bottle well to redisperse the suspension."
suspicion,"- I have a suspicion that he is lying.
- - His suspicious behavior aroused my suspicion.
- - There is a suspicion of foul play in the company's dealings.
- - The police are holding him under suspicion of murder.
- - He was under suspicion for the theft.
- - The suspicion fell on him after the evidence was found."
sweatshop,"- The company was accused of using sweatshops to produce its goods.
- - Many clothing brands have been criticized for sourcing materials from sweatshops.
- - The factory was a sweatshop, with long hours and low pay.
- - Conditions in the sweatshop were deplorable."
swindler,"- He was a swindler who sold fake investments.
- - The swindler took their money and disappeared.
- - Beware of that swindler; he'll cheat you.
- - The swindler ran a sophisticated scam.
- - He is a swindler and should be in jail.
- - The police caught the swindler after a long investigation."
syntax,"- The syntax of this sentence is incorrect.
- - Understanding syntax is crucial for programming.
- - The compiler checks the syntax of the code.
- - A syntax error can prevent a program from running.
- - The syntax of his argument was well constructed.
- - Different programming languages have different syntax."
take back,"- I take back what I said about you.
- - He had to take back his accusations when new evidence emerged.
- - I need to take this shirt back to the store; it's too small.
- - You can take it back within 30 days for a full refund.
- - The army managed to take back the city from the rebels.
- - They are trying to take back control of the company."
take up,"- She decided to take up yoga to relieve stress.
- - He took up painting as a hobby after retirement.
- - The new sofa takes up too much space in the living room.
- - All these boxes take up valuable storage space.
- - The committee will take up the issue at the next meeting.
- - We need to take up your complaint with the manager."
taken,"- The book was taken from the library.
- - All the seats were already taken.
- - This picture was taken last summer.
- - The photographer has taken many beautiful photos.
- - My offer was taken.
- - Her words were taken seriously."
tattoo,"- She has a beautiful tattoo on her arm.
- - His tattoos tell a story about his life.
- - He decided to tattoo a dragon on his back.
- - She wants to tattoo her favorite quote on her wrist."
taxiway,"- The pilot taxied the plane onto the taxiway.
- - The taxiway connects the runway to the terminal."
technologically,"- The company is technologically advanced.
- - We need to upgrade our systems technologically.
- - The problem was solved technologically.
- - They are trying to improve efficiency technologically."
teetotal,"- He is teetotal and never touches alcohol.
- - My parents are teetotal, so there's never any wine in the house.
- - She's a teetotal who avoids all kinds of alcohol.
- - As a teetotal, he always orders water at the bar."
telegraph pole,"- The telegraph pole was leaning precariously after the storm.
- - Birds often perch on telegraph poles."
teletext,"- Many older televisions have teletext services.
- - I used teletext to check the news."
tell someone your name,"- I need to tell someone my name when I check in.
- - Did you tell someone your name at the party?
- - It's polite to tell someone your name when you meet them.
- - He forgot to tell someone his name at the meeting."
tempt,"- The delicious dessert tempted me to break my diet.
- - He was tempted by the offer of a higher salary.
- - The devil tempted Eve to eat the forbidden fruit.
- - They tried to tempt him into joining their group.
- - The advertisement tempted viewers to buy the product.
- - The warm weather tempted us to go for a swim."
tennis racket,"- He bought a new tennis racket.
- - My tennis racket is old and needs replacing."
terrace,"- We had breakfast on the terrace.
- - The hotel has a rooftop terrace with a swimming pool.
- - They live in a terrace house.
- - Many terrace houses were built in the 19th century.
- - The hillside was terraced for planting rice.
- - Farmers terrace land to prevent soil erosion."
tetrathlon,"- He competed in the modern tetrathlon.
- - The tetrathlon includes swimming, running, shooting, and fencing."
that said,"- The movie was too long; that said, I enjoyed the acting.
- - The car is expensive; that said, it's very reliable.
- - He's not the best student; that said, he always tries hard.
- - The project had some problems; that said, it was ultimately successful.
- - It was a difficult decision; that said, I think we made the right choice.
- - The task was challenging; that said, I learned a lot from it."
that/it depends,"- Will you be able to come to the party? That depends.
- - Whether we go to the beach tomorrow depends on the weather.
- - Whether or not I take the job depends on the salary.
- - The success of the project depends on good teamwork."
thatched,"- They lived in a thatched cottage.
- - The village is known for its thatched roofs.
- - A thatched roof is very picturesque.
- - The pub had a beautiful thatched extension."
the ability to of,"- The ability to learn new languages is a valuable skill.
- - Her ability to solve complex problems quickly impressed her colleagues.
- - Having the ability to travel widely opens up many new perspectives.
- - The software provides the ability to create detailed reports."
the ability to/of,"- He has the ability to speak French fluently.
- - The company lacks the ability to adapt to new technologies.
- - Students should have the ability to access library resources online.
- - The new software gives users the ability to customize their settings.
- - She demonstrated the ability to lead a team effectively.
- - The athlete showed the ability of overcoming great challenges."
the application of,"- The application of this rule is essential.
- - The application of technology improved efficiency.
- - The application of pressure caused the metal to bend.
- - The application of the new policy was met with resistance.
- - The application of this software is straightforward.
- - The application of fertilizers increased the yield."
the drink,"- I would like to order the drink.
- - What is the drink you recommended?"
the past few,"- I've been very busy for the past few weeks.
- - The past few years have been difficult for many people.
- - Over the past few days, the weather has improved significantly.
- - She's been working hard for the past few months."
the young,"- The young are often more open to new ideas.
- - We need to protect the young from harmful influences.
- - The charity provides support for the young and vulnerable.
- - Education is key to the future of the young."
thin(ly),"- She is very thin.
- - The book has thin pages.
- - The soup was thinly sliced.
- - Spread the butter thinly on the bread.
- - Thin the paint with water.
- - The crowd began to thin out after the concert."
think for yourself,"- You should think for yourself and not just believe everything you read online.
- - Don't let others influence you so much; think for yourself.
- - The company encourages employees to think for themselves and come up with innovative solutions.
- - It's important to think for yourself and not just follow the crowd.
- - As an adult, you need to think for yourself and make your own decisions.
- - She always thought for herself, regardless of what others thought."
this is not  the case,"- I thought they were dating, but that's not the case.
- - He said he finished the project, but that's not the case.
- - The rumor is that she resigned, but that's not the case.
- - Everyone assumes he's rich, but that's not the case.
- - He says it's about the money, but that's not the case.
- - They think it's a simple problem, but that's not the case."
this means that,"- The red light means that we have to stop.
- - His silence means that he disagrees.
- - He lost his job; this means that he has no income.
- - The company is expanding, this means that there will be more job openings.
- - The high temperature means that we are experiencing a heatwave.
- - The increased sales mean that the product is popular."
three-point turn,"- The driving instructor taught me how to do a three-point turn.
- - She failed her driving test because she couldn't execute a three-point turn properly."
time zone,"- What time zone are you in?
- - The meeting will be scheduled based on your time zone."
time-conscious,"- She is a very time-conscious manager and always meets deadlines.
- - We need to be more time-conscious to improve our productivity.
- - He is very time-conscious, so he always arrives on time.
- - Being time-conscious is important in a professional setting."
title bar,"- The title bar displays the name of the application.
- - You can drag the window by clicking and holding the title bar."
torrid,"- The torrid heat of the desert was unbearable.
- - They escaped the torrid climate for a vacation in the mountains.
- - Their torrid love affair was the talk of the town.
- - The novel contained a torrid scene between the two main characters."
tour,"- We went on a guided tour of the city.
- - The tour included a visit to the museum.
- - We toured Europe last summer.
- - The band is touring to promote their new album.
- - The band's tour was very successful.
- - They are planning a world tour next year."
trace back to,"- The police are trying to trace the phone call back to its origin.
- - This tradition can be traced back to the Middle Ages.
- - You can trace the problem back to a faulty wire.
- - We need to trace back the reasons for the company's failure."
trader,"- He is a successful trader in the stock market.
- - The trader made a large profit from the deal.
- - The street trader was selling fruit.
- - He is a foreign currency trader."
traffic jam,"- I was late for work because of the traffic jam.
- - The traffic jam stretched for miles.
- - There's a bad traffic jam on the highway.
- - The accident caused a major traffic jam."
travel agency,"- I booked my tickets through a travel agency.
- - She works at a local travel agency."
tray,"- She carried the drinks on a tray.
- - The waiter brought our food on a tray.
- - My computer has a CD tray.
- - The printer's paper tray is empty."
tripod,"- I need a tripod for my camera.
- - The tripod kept the camera steady."
